Site,label_metal,E_ads,max_d_CO,min_d_CO,OCO_ang,PE_h,IP_h,EA_h,rs_h,rp_h,rd_h,rval_h,bulk_nnd,PE_sa,IP_sa,EA_sa,rs_sa,rp_sa,rd_sa,rval_sa,PE_site,IP_site,EA_site,PE_snn,IP_snn,EA_snn,CN,gen_CN,site_no
Cu_110_Ru_sub_OCO_long_SA-O,1,-0.17140,0.119,0.0455,130.86,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.2,7.361,1.05,1.4756,0,0.6473,0.6473,2.05,7.5435,1.139,1.9214,7.6999,1.2153,6.0,5.9,2
Cu_110_Ru_sub_OCO_short_SA-C,1,-1.02842,0.0949,0.0678,137.42,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.2,7.361,1.05,1.4756,0,0.6473,0.6473,2.05,7.5435,1.139,1.925,7.6956,1.2132,5.0,5.7778,2
Cu_211_Co_sub_OCO_bridge2-s_SA-C,1,-0.25914,0.0967,0.0682,136.86,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,1.88,7.881,0.661,1.2915,0,0.359,0.359,1.89,7.8035,0.9445,1.8985,7.7379,1.1844,5.0,5.3889,2
Cu_211_Ir_sub_OCO_ontop-s_SA-C,1,-0.45502,0.0992,0.0437,140.02,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.2,9.1,1.565,1.291,0,0.6938,0.6938,2.2,9.1,1.565,1.9375,7.8978,1.2701,7.0,5.5,1
Cu_211_Ir_sub_OCO_bridge2-s_SA-C,1,-0.65637,0.0807,0.0769,136.99,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.2,9.1,1.565,1.291,0,0.6938,0.6938,2.05,8.413,1.3965,1.925,7.8405,1.2561,5.0,5.3889,2
Cu_211_Ni_subs_OCO_ontop-s_SA-C,1,-0.24338,0.0841,0.0366,143.36,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,1.91,7.64,1.156,1.2532,0,0.3378,0.3378,1.91,7.64,1.156,1.9013,7.7153,1.219,7.0,5.5,1
Cu_211_Ni_subs_OCO_bridge2-s_SA-O,1,-0.50522,0.0759,0.0665,139.6,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,1.91,7.64,1.156,1.2532,0,0.3378,0.3378,1.905,7.683,1.192,1.9008,7.7188,1.222,5.0,5.3889,2
Cu_211_Ni_subs_OCO_ontop-s_2_SA-C,1,-0.33920,0.0794,0.0794,137.24,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,1.91,7.64,1.156,1.2532,0,0.3378,0.3378,1.9033,7.6973,1.204,1.9006,7.7206,1.2235,4.3333,5.3333,3
Cu_211_Os_sub_OCO_ontop-s_SA-C,1,-0.77537,0.1247,0.049,136.47,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.2,8.7,1.1,1.3127,0,0.7191,0.7191,2.2,8.7,1.1,1.9375,7.8477,1.212,7.0,5.5,1
Cu_211_Os_sub_OCO_bridge2-s_SA-C,1,-1.07931,0.1107,0.0685,135.99,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.2,8.7,1.1,1.3127,0,0.7191,0.7191,2.05,8.213,1.164,1.925,7.8072,1.2173,5.0,5.3889,2
Cu_211_Pd_sub_OCO_bridge2-s_SA-C,1,-0.10937,0.0698,0.0391,143.0,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.05,8.0315,0.8925,1.925,7.7769,1.1721,5.0,5.3889,2
Cu_211_Pt_sub_OCO_bridge2-s_SA-C,1,-0.29144,0.0945,0.044,136.62,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.28,9.0,2.128,1.2686,0,0.6705,0.6705,2.09,8.363,1.678,1.9317,7.8322,1.303,5.0,5.3889,2
Cu_211_Pt_sub_OCO_ontop-s_SA-C,1,-0.01458,0.0505,0.0504,145.11,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.28,9.0,2.128,1.2686,0,0.6705,0.6705,2.28,9.0,2.128,1.9475,7.8853,1.3405,7.0,5.5,1
Cu_211_Rh_sub_OCO_bridge2-s_SA-C,1,-0.54959,0.0782,0.065,139.1,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.28,7.459,1.137,1.4462,0,0.613,0.613,2.09,7.5925,1.1825,1.9317,7.7038,1.2204,5.0,5.3889,2
Cu_211_Rh_sub_OCO_ontop-s_SA-C,1,-0.29046,0.0767,0.0376,144.51,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.28,7.459,1.137,1.4462,0,0.613,0.613,2.28,7.459,1.137,1.9475,7.6926,1.2166,7.0,5.5,1
Cu_211_Rh_sub_OCO_ontop-s_2_SA-C,1,-0.18214,0.0647,0.0641,142.64,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.28,7.459,1.137,1.4462,0,0.613,0.613,2.28,7.459,1.137,1.9475,7.6926,1.2166,7.0,5.5,1
Cu_211_Ru_sub_OCO_ontop-s_SA-C,1,-0.53191,0.0995,0.0635,136.37,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.2,7.361,1.05,1.4756,0,0.6473,0.6473,2.2,7.361,1.05,1.9375,7.6804,1.2058,7.0,5.5,1
